participant_ID,token_set,condition,rating
D1,7,UCATM,2
D1,8,LCATU,-2
D1,9,UCATU,-1
D1,10,LCATM,3
D1,11,UCATM,3
D1,12,LCATU,-2
D2,1,UCATU,-1
D2,2,LCATM,3
D2,3,UCATM,3
D2,4,LCATU,1
D2,5,UCATU,1
D2,6,LCATM,3
D2,7,UCATM,2
D2,8,LCATU,-1
D2,9,UCATU,-1
D2,10,LCATM,3
D2,11,UCATM,3
D2,12,LCATU,1
D3,1,UCATU,2
D3,2,LCATM,1
D3,3,UCATM,3
D3,4,LCATU,-3
D3,5,UCATU,1
D3,6,LCATM,2
D3,7,UCATM,3
D3,8,LCATU,1
D3,9,UCATU,3
D3,10,LCATM,3
D3,11,UCATM,3
D3,12,LCATU,2
D7,1,UCATU,-2
D7,2,LCATM,2
D7,3,UCATM,1
D7,4,LCATU,1
D7,5,UCATU,-1
D7,6,LCATM,1
D7,7,UCATM,2
D7,8,LCATU,-3
D7,9,UCATU,-2
D7,10,LCATM,3
D7,11,UCATM,2
D7,12,LCATU,-2
D8,1,UCATU,-3
D8,2,LCATM,3
D8,3,UCATM,3
D8,4,LCATU,1
D8,5,UCATU,3
D8,6,LCATM,3
D8,7,UCATM,3
D8,8,LCATU,-3
D8,9,UCATU,-3
D8,10,LCATM,-3
D8,11,UCATM,3
D8,12,LCATU,-3
D9,1,UCATU,1
D9,2,LCATM,3
D9,3,UCATM,1
D9,4,LCATU,1
D9,5,UCATU,-1
D9,6,LCATM,3
D9,7,UCATM,3
D9,8,LCATU,-2
D9,9,UCATU,-3
D9,10,LCATM,3
D9,11,UCATM,3
D9,12,LCATU,-2
D10,1,UCATU,-2
D10,2,LCATM,3
D10,3,UCATM,1
D10,4,LCATU,-1
D10,5,UCATU,0
D10,6,LCATM,2
D10,7,UCATM,3
D10,8,LCATU,-2
D10,9,UCATU,-1
D10,10,LCATM,1
D10,11,UCATM,2
D10,12,LCATU,-2
D13,1,UCATU,2
D13,2,LCATM,2
D13,3,UCATM,1
D13,4,LCATU,-2
D13,5,UCATU,-3
D13,6,LCATM,1
D13,7,UCATM,0
D13,8,LCATU,-2
D13,9,UCATU,-2
D13,10,LCATM,2
D13,11,UCATM,2
D13,12,LCATU,-3
D15,1,UCATU,-3
D15,2,LCATM,2
D15,3,UCATM,3
D15,4,LCATU,-3
D15,5,UCATU,-3
D15,6,LCATM,2
D15,7,UCATM,1
D15,8,LCATU,-3
D15,9,UCATU,-3
D15,10,LCATM,2
D15,11,UCATM,2
D15,12,LCATU,-3
D19,1,UCATU,-3
D19,2,LCATM,3
D19,3,UCATM,3
D19,4,LCATU,-3
D19,5,UCATU,-3
D19,6,LCATM,3
D19,7,UCATM,2
D19,8,LCATU,-3
D19,9,UCATU,-3
D19,10,LCATM,2
D19,11,UCATM,3
D19,12,LCATU,-3
D20,1,UCATU,-1
D20,2,LCATM,3
D20,3,UCATM,3
D20,4,LCATU,1
D20,5,UCATU,1
D20,6,LCATM,3
D20,7,UCATM,3
D20,8,LCATU,0
D20,9,UCATU,1
D20,10,LCATM,2
D20,11,UCATM,3
D20,12,LCATU,1
D21,1,UCATU,-2
D21,2,LCATM,3
D21,3,UCATM,3
D21,4,LCATU,-2
D21,5,UCATU,-1
D21,6,LCATM,3
D21,7,UCATM,3
D21,8,LCATU,-2
D21,9,UCATU,-1
D21,10,LCATM,3
D21,11,UCATM,3
D21,12,LCATU,-1
D22,1,UCATU,-3
D22,2,LCATM,3
D22,3,UCATM,3
D22,4,LCATU,2
D22,5,UCATU,1
D22,6,LCATM,3
D22,7,UCATM,3
D22,8,LCATU,1
D22,9,UCATU,1
D22,10,LCATM,3
D22,11,UCATM,3
D22,12,LCATU,1
