participant_ID,token_set,function_match,category_match,rating
C22,6,0,0,1
C22,7,1,1,3
C22,8,1,0,2
C22,9,0,1,-1
C22,10,0,0,-2
C22,11,1,1,1
C22,12,1,0,-2
C24,1,0,1,0
C24,2,0,0,0
C24,3,1,1,3
C24,4,1,0,0
C24,5,0,1,0
C24,6,0,0,3
C24,7,1,1,3
C24,8,1,0,3
C24,9,0,1,3
C24,10,0,0,-3
C24,11,1,1,3
C24,12,1,0,3
C26,1,0,1,-2
C26,2,0,0,3
C26,3,1,1,3
C26,4,1,0,3
C26,5,0,1,-3
C26,6,0,0,-2
C26,7,1,1,3
C26,8,1,0,3
C26,9,0,1,3
C26,10,0,0,-2
C26,11,1,1,3
C26,12,1,0,3
C27,1,0,1,-2
C27,2,0,0,-2
C27,3,1,1,3
C27,4,1,0,2
C27,5,0,1,-2
C27,6,0,0,-3
C27,7,1,1,3
C27,8,1,0,3
C27,9,0,1,-3
C27,10,0,0,-3
C27,11,1,1,2
C27,12,1,0,-2
C28,1,0,1,1
C28,2,0,0,2
C28,3,1,1,3
C28,4,1,0,-2
C28,5,0,1,-1
C28,6,0,0,-1
C28,7,1,1,3
C28,8,1,0,3
C28,9,0,1,-1
C28,10,0,0,-1
C28,11,1,1,2
C28,12,1,0,1
C29,1,0,1,0
C29,2,0,0,3
C29,3,1,1,3
C29,4,1,0,3
C29,5,0,1,0
C29,6,0,0,1
C29,7,1,1,3
C29,8,1,0,3
C29,9,0,1,-1
C29,10,0,0,-1
C29,11,1,1,3
C29,12,1,0,1
D1,1,0,0,-1
D1,2,1,1,3
D1,3,1,0,3
D1,4,0,1,-1
D1,5,0,0,-1
D1,6,1,1,3
D1,7,1,0,2
D1,8,0,1,-2
D1,9,0,0,-1
D1,10,1,1,3
D1,11,1,0,3
D1,12,0,1,-2
D2,1,0,0,-1
D2,2,1,1,3
D2,3,1,0,3
D2,4,0,1,1
D2,5,0,0,1
D2,6,1,1,3
D2,7,1,0,2
D2,8,0,1,-1
D2,9,0,0,-1
D2,10,1,1,3
D2,11,1,0,3
D2,12,0,1,1
D3,1,0,0,2
D3,2,1,1,1
D3,3,1,0,3
D3,4,0,1,-3
D3,5,0,0,1
D3,6,1,1,2
D3,7,1,0,3
D3,8,0,1,1
D3,9,0,0,3
D3,10,1,1,3
D3,11,1,0,3
D3,12,0,1,2
D7,1,0,0,-2
D7,2,1,1,2
D7,3,1,0,1
D7,4,0,1,1
D7,5,0,0,-1
D7,6,1,1,1
D7,7,1,0,2
D7,8,0,1,-3
D7,9,0,0,-2
D7,10,1,1,3
D7,11,1,0,2
D7,12,0,1,-2
D8,1,0,0,-3
D8,2,1,1,3
D8,3,1,0,3
D8,4,0,1,1
D8,5,0,0,3
D8,6,1,1,3
D8,7,1,0,3
D8,8,0,1,-3
D8,9,0,0,-3
D8,10,1,1,-3
D8,11,1,0,3
D8,12,0,1,-3
D9,1,0,0,1
D9,2,1,1,3
D9,3,1,0,1
D9,4,0,1,1
D9,5,0,0,-1
D9,6,1,1,3
D9,7,1,0,3
D9,8,0,1,-2
D9,9,0,0,-3
D9,10,1,1,3
D9,11,1,0,3
D9,12,0,1,-2
D10,1,0,0,-2
D10,2,1,1,3
D10,3,1,0,1
D10,4,0,1,-1
D10,5,0,0,0
D10,6,1,1,2
D10,7,1,0,3
D10,8,0,1,-2
D10,9,0,0,-1
D10,10,1,1,1
D10,11,1,0,2
D10,12,0,1,-2
D13,1,0,0,2
D13,2,1,1,2
D13,3,1,0,1
D13,4,0,1,-2
D13,5,0,0,-3
D13,6,1,1,1
D13,7,1,0,0
D13,8,0,1,-2
D13,9,0,0,-2
D13,10,1,1,2
D13,11,1,0,2
D13,12,0,1,-3
D15,1,0,0,-3
D15,2,1,1,2
D15,3,1,0,3
D15,4,0,1,-3
D15,5,0,0,-3
D15,6,1,1,2
D15,7,1,0,1
D15,8,0,1,-3
D15,9,0,0,-3
D15,10,1,1,2
D15,11,1,0,2
D15,12,0,1,-3
D19,1,0,0,-3
D19,2,1,1,3
D19,3,1,0,3
D19,4,0,1,-3
D19,5,0,0,-3
D19,6,1,1,3
D19,7,1,0,2
D19,8,0,1,-3
D19,9,0,0,-3
D19,10,1,1,2
D19,11,1,0,3
